1,1,0
2,1,1
3,1,0
4,0,1
5,0,0
6,1,0
7,0,1
8,1,1
9,1,1
10,1,1
11,1,0
12,1,1
13,1,1
14,0,0
15,1,0
16,1,0
17,0,1
18,1,0
19,0,0
20,1,0
21,1,1
22,1,0
23,1,1
24,0,1
25,0,1
26,0,0
27,1,1
28,0,1
29,0,0
30,0,1
31,1,0
32,0,1
33,0,0
34,1,0
35,0,0
36,1,1
37,1,1
38,0,1
39,0,1
40,0,1
41,0,1
42,1,0
43,1,0
44,1,0
45,0,0
46,0,1
47,1,1
48,0,0
49,0,1
50,1,1
51,0,0
52,1,0
53,1,1
54,1,0
55,0,0
56,0,1
57,0,1
58,1,1
59,0,0
60,0,0
61,0,1
62,1,0
63,0,0
64,1,1
65,1,1
66,1,0
67,1,1
68,1,0
69,0,1
70,0,0
71,1,1
72,0,0
73,0,0
74,1,0
75,0,0
76,1,1
77,0,0
78,0,1
79,0,0
80,1,0
81,0,1
82,0,0
83,0,0
84,1,1
85,1,1
86,1,0
87,1,1
88,1,1
89,0,1
90,0,1
91,0,0
92,0,0
93,1,1
94,0,1
95,0,0
96,0,0
97,1,1
98,1,1
99,1,0
100,1,0
